today open,predict open 1,predict open 2,state,hold,profit,action
154.4,151.57224,152.83261,0,0,0,-1
155.96,152.03505,153.64812,-1,155.96,0,1
156.45,152.737,154.35068,0,0,-0.4899999999999807,-1
154.1,152.85052,154.3897,-1,154.1,-0.4899999999999807,1
153.59,152.75032,154.04565,0,0,0.020000000000010232,1
154.81,152.68365,154.05675,1,154.81,0.020000000000010232,-1
155.46,152.95082,154.36217,0,0,0.6700000000000159,-1
156.74,153.44313,155.06447,-1,156.74,0.6700000000000159,1
156.6,154.15039,155.50418,0,0,0.8100000000000307,-1
154.6,154.10226,155.28992,-1,154.6,0.8100000000000307,1
153.61,153.91777,154.76596,0,0,1.8000000000000114,1
153.59,153.6461,154.43782,1,153.59,1.8000000000000114,-1
154.05,153.71227,154.3522,0,0,2.2600000000000193,1
153.65,153.6812,154.2087,1,153.65,2.2600000000000193,-1
153.17,153.67888,154.02203,0,0,1.7800000000000011,1
151.82,153.30042,153.58951,1,151.82,1.7800000000000011,-1
152.51,153.15608,153.44475,0,0,2.469999999999999,1
152.95,153.19237,153.36583,1,152.95,2.469999999999999,-1
153.2,153.14264,153.43326,0,0,2.719999999999999,1
